id;sid;company_name;bic_code;legal_domicile_id;npwp;npwp_reg_date;skd;skd_exp_date;company_establish_place;company_establish_date;business_type;company_chracteristic;fund_source;fund_source_text;article_association;bussiness_reg_no;financial_asset_1;financial_asset_2;financial_asset_3;operating_profit_1;operating_profit_2;operating_profit_3;description;investment_objective;direct_sid;asset_owner;sup_doc_type;sup_doc_exp_date;tax_id;image_cert_article_association;image_mgmt_structure;image_siup;image_cert_domicile;image_cert_incorporation;image_npwp;image_audited_financial;image_share_holder;company_characteristic_text;investment_objective_text;bussiness_reg_exp_date;business_type_text;invest_experience;invest_experience_text;business_fields;business_fields_text;company_domicile_status;company_domicile_since;company_web_address;company_establish_certificate;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Haiti;Advanced Awesome Rubber Mouse;payment connect Berk;54236;Operations indexing Lead;2019-12-02;Fantastic Shirt;2019-12-02;Operative ;2019-12-02;S;S;Dynamic;Principal;invoice;Intelligent Frozen Shoes mission-critical;10142;16633;48587;61735;25677;52308;Quetzal;haptic Moldova archive;monitor morph;n;C;2019-12-03;10687;Georgia Universal Group;Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;2019-12-03;SCSI Field Bermuda;H;Phased sky blue;Exclusive benchmark;Sleek Wooden Chips bi-directional;R;2019-12-02;monitor Lek;innovative bypassing Credit Card Account;2019-12-03;2019-12-02T19:10:00;90552;2019-12-03;2019-12-02T14:30:19;7941
2;Generic;Savings Account monetize one-to-one;extensible Practical;6761;primary Profit-focused Ethiopia;2019-12-02;payment Denmark;2019-12-03;collaborat;2019-12-02;w;L;Usability;payment;mint green Indonesia Practical;synthesizing Garden;30085;66491;98123;79544;47488;92717;Cross-group redefine;Industrial;Accounts Domini;G;p;2019-12-02;15930;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;Granite quantifying;CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;2019-12-03;utilize;C;compelling;North Carolina Creative Connecticut;FTP Investor;R;2019-12-02;installation;revolutionize Metal leading-edge;2019-12-03;2019-12-02T21:34:14;2581;2019-12-02;2019-12-03T05:48:14;23255
3;Awesome parse C;task-force Cambridgeshire;attitude-oriented qu;33;Kids;2019-12-02;intuitive streamline;2019-12-02;turquoise ;2019-12-02;C;A;Keyboard;Soft;attitude-oriented;Saudi Riyal;6229;61805;50942;63318;99669;22889;Polarised orange Soap;Suriname models;optical;P;I;2019-12-03;73361;parse Computers;Granite synergies;logistical synthesize Concrete;Savings Account access;Pre-emptive Officer primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic;Wooden FTP;alarm;cross-platform Investment Account;2019-12-02;extend Interactions;S;withdrawal Quality redundant;Extended;Program Triple-buffered online;w;2019-12-02;Personal Loan Account;Motorway;2019-12-02;2019-12-03T05:26:38;10569;2019-12-02;2019-12-02T09:19:46;51222
4;Aruban Guilder ;deposit primary Small;Optimization;73750;web-enabled workforce;2019-12-03;reboot invoice grey;2019-12-03;Awesome in;2019-12-02;f;E;Agent regional;Pre-emptive Coordinator Djibouti Franc;Concrete;reciprocal Generic Frozen Hat;47825;4195;89581;96848;32221;79871;holistic;Rubber Borders Legacy;bluetooth depos;I;C;2019-12-02;55009;maximize Sausages;Up-sized;Czech Koruna;TCP invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;2019-12-02;Engineer Operations Handmade Wooden Computer;S;parsing;Borders;copying;r;2019-12-02;Awesome;Burundi Franc;2019-12-02;2019-12-02T19:11:45;63629;2019-12-02;2019-12-02T14:46:52;43380
5;Shoes;Jewelery Reduced;JBOD attitude-orient;87981;deposit knowledge user input;2019-12-02;Savings Account Indian Rupee;2019-12-03;Martinique;2019-12-02;c;i;navigate Croatian Kuna hack;implementation XML Liaison;deploy payment;SSL Savings Account reintermediate;41262;187;69561;17837;321;2907;Pants Bacon;Fantastic Utah;Borders protoco;I;K;2019-12-02;80498;3rd generation copying;deposit Car;out-of-the-box mobile program;connecting Japan enable;policy;Cloned architect;Auto Loan Account;parse capacitor model;systems;Buckinghamshire Computer;2019-12-02;Assistant navigate;W;Director Chair;Toys generating neutral;Paradigm solid state;s;2019-12-02;PCI;Estates Squares vortals;2019-12-02;2019-12-02T21:27:24;70601;2019-12-03;2019-12-02T17:54:00;8060
6;circuit;District 1080p;bypass;15890;Savings Account;2019-12-03;reboot withdrawal;2019-12-02;Gorgeous S;2019-12-03;d;t;Virtual explicit index;synthesizing actuating;Cambridgeshire;Ergonomic Rubber Salad;56199;13924;34592;53242;31518;41109;revolutionary Future Shoes;Venezuela Rubber;Markets Refined;C;m;2019-12-02;94703;Director Computer;Fish;ROI;quantifying;Macedonia Executive;AI;Bahrain wireless Mali;Intelligent Summit;initiatives Frozen;overriding Bermudian Dollar (customarily known as Bermuda Dollar);2019-12-02;vortals payment Finland;h;cross-platform;Associate neural;pink Synergized;G;2019-12-02;generate Electronics Fresh;GB AGP;2019-12-03;2019-12-02T10:19:44;45123;2019-12-02;2019-12-02T09:24:30;75072
7;Alaska Bahamas ;Product Hong Kong;primary reintermedia;45169;seize Licensed web services;2019-12-03;sky blue;2019-12-03;impactful;2019-12-02;m;r;Cape Verde Ridge;back-end methodology;customized Product Chips;Rubber green;18422;36369;89398;73263;65429;82037;help-desk;Personal Loan Account Refined RAM;firewall toolse;L;c;2019-12-02;42748;Keyboard Clothing;Sleek Clothing;Dynamic Fantastic matrix;cutting-edge;programming;Handmade copy;Turnpike quantifying Harbor;Networked transmitting;back-end Bike bandwidth;Ergonomic program platforms;2019-12-02;system ivory;w;bus online;Engineer deposit Soft;Incredible open architecture Movies;M;2019-12-02;analyzing;cross-media XML;2019-12-03;2019-12-03T01:43:14;36037;2019-12-03;2019-12-03T07:24:14;3318
8;groupware invoi;Right-sized neural Handcrafted Fresh Ball;Human UAE Dirham;56044;Fantastic;2019-12-02;Flats AI;2019-12-02;synergize;2019-12-02;S;S;Internal synthesize optical;Strategist;hard drive migration;Falkland Islands (Malvinas) invoice Courts;21844;70368;12024;54069;6834;9653;Automated;Mississippi;secured line;I;q;2019-12-02;33040;visionary Officer;Awesome Streamlined;4th generation interfaces zero tolerance;COM Norfolk Island Gorgeous Fresh Bike;Avon bandwidth;Lead Vatu;Refined Frozen Towels Beauty North Korean Won;support;Springs Rubber;Corporate initiatives;2019-12-02;withdrawal South Carolina Pakistan Rupee;M;Intelligent;online Technician;Response;S;2019-12-03;optimize Future;vertical;2019-12-02;2019-12-02T18:33:01;4564;2019-12-02;2019-12-03T05:41:15;23885
9;Walk;info-mediaries Borders;Plain;44746;Falls;2019-12-02;Albania TCP;2019-12-03;backing up;2019-12-02;e;r;empower Unbranded Plastic Shir;Gorgeous Auto Loan Account Granite;XML Utah;Buckinghamshire;70225;4485;99281;45059;13148;92942;Shirt;mindshare metrics;Swedish Krona P;c;C;2019-12-03;5113;Stand-alone Small Rubber Pizza Fiji Dollar;withdrawal;Prairie revolutionary Rubber;Saint Kitts and Nevis Senior;Incredible out-of-the-box;bandwidth payment withdrawal;Home Loan Account Beauty deposit;Rubber Pizza Fish;Soft Global;connecting;2019-12-02;backing up;r;integrate Direct;Hawaii web-enabled transmitter;Refined Cotton Chicken navigating;B;2019-12-03;multi-byte Flat cross-platform;Terrace Virginia index;2019-12-03;2019-12-03T01:23:43;88965;2019-12-02;2019-12-03T08:45:09;37117
10;Checking Accoun;Haiti Bedfordshire Table;Steel Legacy;34587;Pants Beauty withdrawal;2019-12-02;24/365;2019-12-03;e-markets ;2019-12-02;n;M;Bedfordshire Industrial Border;Cotton Small red;synergize Shirt Home;Granite Bedfordshire Fresh;83548;11613;37039;95591;37480;31396;ADP Personal Loan Account;Western Sahara Gorgeous Personal Loan Account;utilize;D;S;2019-12-02;24690;indexing B2C compressing;mint green Sleek Plastic Chicken contextually-based;connecting Guadeloupe Towels;Frozen platforms;indexing maroon;Producer SQL Money Market Account;bluetooth Fall;enable Refined Granite Fish Tunisia;Frozen;Investor array;2019-12-02;HTTP Soft;B;Usability;Applications;Executive Buckinghamshire;B;2019-12-02;Rhode Island;maximize Cambridgeshire;2019-12-02;2019-12-03T00:21:13;57727;2019-12-02;2019-12-02T12:16:28;89445
